probe_id,ref_id,gender,score,label
01,01,male,0.9654200379241134,genuine
01,02,male,0.7141283734619235,impostor
01,03,male,0.8780218283493835,impostor
01,04,male,0.8348446509571255,impostor
01,05,male,0.8838405389570945,impostor
01,06,male,0.7055058602543616,impostor
01,07,male,0.8585308362470476,impostor
01,08,male,0.7787086521176136,impostor
01,09,male,0.7531633278030254,impostor
01,10,male,0.3239350476780078,impostor
01,11,male,0.7821945906537636,impostor
01,12,male,0.8754627559003123,impostor
01,13,male,0.7743586051493773,impostor
01,14,male,0.7225024141987538,impostor
01,15,male,0.7685419704978023,impostor
01,16,male,0.4511799581779936,impostor
01,17,male,0.8949716431967948,impostor
01,18,male,0.7588388008800411,impostor
01,19,male,0.8519910864540777,impostor
01,20,male,0.7721104515073431,impostor
01,21,male,0.8035737996936256,impostor
01,22,male,0.8263356652781889,impostor
01,23,male,0.9491984228059724,impostor
01,24,male,0.9199938399302114,impostor
01,25,male,0.8623714977706017,impostor
01,26,male,0.8763681216644045,impostor
02,01,male,0.7140174875700485,impostor
02,02,male,0.8819066885289215,genuine
02,03,male,0.6901765089739847,impostor
02,04,male,0.7962345086180009,impostor
02,05,male,0.685889999931343,impostor
02,06,male,0.8038551205069313,impostor
02,07,male,0.6749286714736418,impostor
02,08,male,0.6422949817707011,impostor
02,09,male,0.8117153851468581,impostor
02,10,male,0.4374001297570039,impostor
02,11,male,0.644772423228273,impostor
02,12,male,0.6820932465899359,impostor
02,13,male,0.6402419261970086,impostor
02,14,male,0.8675314192398139,impostor
02,15,male,0.6381835664779915,impostor
02,16,male,0.6747183105225596,impostor
02,17,male,0.7512612537258494,impostor
02,18,male,0.8391800264505357,impostor
02,19,male,0.6769982980089085,impostor
02,20,male,0.8348863825845718,impostor
02,21,male,0.6527368285387463,impostor
02,22,male,0.6623406343112682,impostor
02,23,male,0.7102193303065556,impostor
02,24,male,0.7284377942046014,impostor
02,25,male,0.7766412210573582,impostor
02,26,male,0.7745976734333756,impostor
03,01,male,0.7580794513368552,impostor
03,02,male,0.5230112016045355,impostor
03,03,male,0.8083272347195893,genuine
03,04,male,0.6102862399109577,impostor
03,05,male,0.8379680920939292,impostor
03,06,male,0.5311937607800321,impostor
03,07,male,0.8729722146422362,impostor
03,08,male,0.9574881060191043,impostor
03,09,male,0.5616579882321369,impostor
03,10,male,0.2502292039496362,impostor
03,11,male,0.9783346937859461,impostor
03,12,male,0.8512533651057522,impostor
03,13,male,0.9367523936425473,impostor
03,14,male,0.5302998477331536,impostor
03,15,male,0.9543087053674595,impostor
03,16,male,0.33470147760755425,impostor
03,17,male,0.6720385248584819,impostor
03,18,male,0.5574430468192187,impostor
03,19,male,0.8518682886634801,impostor
03,20,male,0.5657405049864872,impostor
03,21,male,0.9235515246097687,impostor
03,22,male,0.8924885463751541,impostor
03,23,male,0.7680068253675866,impostor
03,24,male,0.7152862447837682,impostor
03,25,male,0.6323774014610511,impostor
03,26,male,0.6415959835824332,impostor
04,01,male,0.8629216150017435,impostor
04,02,male,0.8178590530839994,impostor
04,03,male,0.8114959576201088,impostor
04,04,male,0.9526035397071102,genuine
04,05,male,0.8065319139513357,impostor
04,06,male,0.7868972391821057,impostor
